_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
25136,4397,onion,plant
25136,4292,celery,plant
25136,16406,ground black pepper,spice
25136,1636,cornstarch,plantproduct
25136,2882,soy sauce,condiment
25136,1526,white sugar,condiment
230764,6420,canola oil,condiment
230764,6309,sesame oil,condiment
230764,6494,chicken breast,animal
230764,4342,garlic,spice
230764,20287,chile paste,condiment
230764,2882,soy sauce,condiment
230764,6420,canola oil,condiment
230764,4267,cabbage,plant
230764,4397,onion,plant
230764,4279,carrot,plant
67137,3795,coconut milk,plantproduct
67137,16397,ground ginger,spice
67137,16418,ground turmeric,spice
67137,3718,lemon grass,plant
67137,20244,red pepper flakes,spice
24381,6307,olive oil,condiment
24381,2882,soy sauce,condiment
24381,4342,garlic,spice
24381,4343,fresh ginger root,spice
24381,1502,honey,animal
24381,16406,ground black pepper,spice
63912,7842,white vinegar,condiment
63912,16406,ground black pepper,spice
63912,20244,red pepper flakes,spice
63912,6305,vegetable oil,condiment
63912,3752,sesame seed,grain
63912,4335,cucumber,plant
63912,4405,green onion,spice
63912,4279,carrot,plant
56140,1650,white rice,grain
56140,6309,sesame oil,condiment
56140,4405,green onion,spice
56140,16317,egg,animal
56140,1526,white sugar,condiment
56140,16408,ground white pepper,spice
56140,16396,garlic powder,spice
56140,2882,soy sauce,condiment
128601,2858,peanut butter,grain
128601,1502,honey,animal
128601,12057,Asian chili sauce,condiment
128601,6309,sesame oil,condiment
128601,16397,ground ginger,spice
128601,4342,garlic,spice
128601,4405,green onion,spice
128601,3752,sesame seed,grain
228241,6309,sesame oil,condiment
228241,4279,carrot,plant
228241,4529,zucchini,plant
228241,1651,white rice,grain
228241,4405,green onion,spice
228241,2882,soy sauce,condiment
228241,16406,ground black pepper,spice
228241,16157,butter,dairy
228241,16317,egg,animal
214217,16133,chicken broth,animal
214217,2882,soy sauce,condiment
214217,2858,peanut butter,grain
214217,1502,honey,animal
214217,4342,garlic,spice
214217,4343,fresh ginger root,spice
214217,16407,cayenne pepper,spice
214217,4786,red bell pepper,plant
58793,16317,egg,animal
58793,16278,milk,dairy
58793,4342,garlic,spice
58793,16406,ground black pepper,spice
58793,20482,frying oil,condiment
214086,16404,paprika,spice
214086,16406,ground black pepper,spice
214086,20551,ground cumin,spice
214086,16396,garlic powder,spice
214086,16385,chili powder,spice
71145,2858,peanut butter,grain
71145,4405,green onion,spice
71145,20194,bean sprouts,plant
71145,4279,carrot,plant
71145,2850,peanuts,grain
40453,2882,soy sauce,condiment
40453,5596,oyster sauce,condiment
40453,4342,garlic,spice
40453,16406,ground black pepper,spice
40453,16157,butter,dairy
36867,6305,vegetable oil,condiment
36867,4663,shallot,plant
36867,4342,garlic,spice
36867,15710,mirin,condiment
36867,2882,soy sauce,condiment
36867,18868,rice vinegar,condiment
36867,6309,sesame oil,condiment
36867,16406,ground black pepper,spice
36867,3717,fresh cilantro,spice
12947,1636,cornstarch,plantproduct
12947,2882,soy sauce,condiment
12947,7842,white vinegar,condiment
12947,4405,green onion,spice
12947,16317,egg,animal
16102,6379,vegetable oil,condiment
16102,4442,potato,plant
16102,4397,onion,plant
16102,4342,garlic,spice
16102,4343,fresh ginger root,spice
16102,16385,chili powder,spice
16102,16406,ground black pepper,spice
16102,16418,ground turmeric,spice
16102,20551,ground cumin,spice
16102,4572,tomato,plant
16102,18860,fresh mint,plant
16102,16382,ground cardamom,spice
16102,20303,cinnamon stick,spice
16102,6379,vegetable oil,condiment
16102,4397,onion,plant
16102,18684,cardamom,spice
16102,18794,whole clove,spice
16102,20303,cinnamon stick,spice
16102,16397,ground ginger,spice
16102,16133,chicken broth,animal
49785,18868,rice vinegar,condiment
49785,2882,soy sauce,condiment
49785,5596,oyster sauce,condiment
49785,1526,white sugar,condiment
49785,6305,vegetable oil,condiment
142055,6305,vegetable oil,condiment
142055,4343,fresh ginger root,spice
142055,6494,chicken breast,animal
142055,1525,brown sugar,condiment
142055,5597,fish sauce,condiment
142055,2858,peanut butter,grain
142055,4442,potato,plant
142055,3795,coconut milk,plantproduct
142055,5112,lime juice,plantproduct
7021,1526,white sugar,condiment
7021,1684,all-purpose flour,grain
7021,16209,ghee,dairy
42155,2882,soy sauce,condiment
42155,1526,white sugar,condiment
42155,16397,ground ginger,spice
42155,4342,garlic,spice
237608,6307,olive oil,condiment
237608,16317,egg,animal
237608,4405,green onion,spice
237608,4342,garlic,spice
237608,1651,white rice,grain
237608,2882,soy sauce,condiment
42231,4663,shallot,plant
42231,4343,fresh ginger root,spice
42231,2882,soy sauce,condiment
42231,16408,ground white pepper,spice
42231,3752,sesame seed,grain
62442,1650,white rice,grain
62442,6294,mayonnaise,condiment
62442,2882,soy sauce,condiment
62442,18868,rice vinegar,condiment
62442,1526,white sugar,condiment
62442,6309,sesame oil,condiment
125394,6305,vegetable oil,condiment
125394,16317,egg,animal
125394,1651,white rice,grain
125394,4292,celery,plant
125394,4279,carrot,plant
125394,4421,frozen pea,plantproduct
125394,4405,green onion,spice
125394,2882,soy sauce,condiment
87872,18868,rice vinegar,condiment
87872,1526,white sugar,condiment
87872,4343,fresh ginger root,spice
87872,4342,garlic,spice
87872,4657,green chile pepper,plant
87872,3686,ketchup,condiment
87872,1636,cornstarch,plantproduct
24709,16157,butter,dairy
24709,1650,white rice,grain
13059,4343,fresh ginger root,spice
13059,16400,mustard seed,spice
13059,3717,fresh cilantro,spice
13059,4572,tomato,plant
13059,4397,onion,plant
13059,3725,jalapeno pepper,plant
13059,20551,ground cumin,spice
13059,18844,ground coriander,spice
13059,4342,garlic,spice
13059,6307,olive oil,condiment
187448,2882,soy sauce,condiment
187448,16396,garlic powder,spice
187448,16397,ground ginger,spice
187448,6309,sesame oil,condiment
187448,2882,soy sauce,condiment
187448,16396,garlic powder,spice
187448,6305,vegetable oil,condiment
187448,4397,onion,plant
187448,16407,cayenne pepper,spice
187448,4292,celery,plant
187448,4279,carrot,plant
187448,4786,red bell pepper,plant
187448,1636,cornstarch,plantproduct
228619,6307,olive oil,condiment
228619,4279,carrot,plant
228619,4343,fresh ginger root,spice
228619,4342,garlic,spice
228619,6307,olive oil,condiment
228619,6494,chicken breast,animal
228619,2940,peanuts,grain
228619,2882,soy sauce,condiment
228619,1525,brown sugar,condiment
228619,3686,ketchup,condiment
228619,20244,red pepper flakes,spice
228619,1636,cornstarch,plantproduct
232409,1502,honey,animal
232409,2882,soy sauce,condiment
232409,1525,brown sugar,condiment
232409,16397,ground ginger,spice
17803,5596,oyster sauce,condiment
17803,4342,garlic,spice
17803,1526,white sugar,condiment
41761,1728,rice noodles,grain
41761,6305,vegetable oil,condiment
41761,4342,garlic,spice
41761,2882,soy sauce,condiment
41761,4405,green onion,spice
32057,6305,vegetable oil,condiment
32057,6494,chicken breast,animal
32057,4342,garlic,spice
32057,5596,oyster sauce,condiment
32057,4252,broccoli,plant
32057,4432,red bell pepper,plant
32057,4279,carrot,plant
32057,4292,celery,plant
32057,20194,bean sprouts,plant
32057,4529,zucchini,plant
32057,4405,green onion,spice
32057,1636,cornstarch,plantproduct
13207,16317,egg,animal
13207,1636,cornstarch,plantproduct
180879,16133,chicken broth,animal
180879,4343,fresh ginger root,spice
180879,2882,soy sauce,condiment
180879,2858,peanut butter,grain
180879,1502,honey,animal
180879,4342,garlic,spice
180879,4786,red bell pepper,plant
180879,4405,green onion,spice
180879,2850,peanuts,grain
180879,3717,fresh cilantro,spice
56094,6305,vegetable oil,condiment
56094,6494,chicken breast,animal
56094,4397,onion,plant
56094,4786,red bell pepper,plant
56094,5597,fish sauce,condiment
56094,5107,lemon juice,plantproduct
56094,3717,fresh cilantro,spice
14850,2355,wonton wrapper,grain
14850,4343,fresh ginger root,spice
14850,3717,fresh cilantro,spice
14850,20482,frying oil,condiment
220868,1525,brown sugar,condiment
220868,2958,light soy sauce,condiment
220868,16397,ground ginger,spice
220868,16396,garlic powder,spice
220868,16406,ground black pepper,spice
220868,16133,chicken broth,animal
220868,1636,cornstarch,plantproduct
232359,6305,vegetable oil,condiment
232359,4397,onion,plant
232359,20551,ground cumin,spice
232359,18844,ground coriander,spice
232359,16133,chicken broth,animal
232359,3795,coconut milk,plantproduct
232359,5597,fish sauce,condiment
232359,1525,brown sugar,condiment
232359,4342,garlic,spice
232359,4343,fresh ginger root,spice
232359,5112,lime juice,plantproduct
232359,16380,bay leaf,spice
232359,1636,cornstarch,plantproduct
232359,2850,peanuts,grain
232359,3717,fresh cilantro,spice
230660,6494,chicken breast,animal
230660,2882,soy sauce,condiment
230660,1502,honey,animal
230660,16406,ground black pepper,spice
199598,16133,chicken broth,animal
199598,2882,soy sauce,condiment
199598,4343,fresh ginger root,spice
199598,4342,garlic,spice
199598,4405,green onion,spice
228443,4397,onion,plant
228443,4343,fresh ginger root,spice
228443,5597,fish sauce,condiment
228443,1728,rice noodles,grain
228443,3717,fresh cilantro,spice
228443,4405,green onion,spice
