url - loc,cat_id,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
https://www.allrecipes.com/recipes/17499/world-cuisine/latin-american/mexican/main-dishes/casserole/,17499,world-cuisine,latin-american,mexican,main-dishes,casserole,
https://www.allrecipes.com/recipes/17504/world-cuisine/latin-american/mexican/main-dishes/,17504,world-cuisine,latin-american,mexican,main-dishes,,
https://www.allrecipes.com/recipes/17513/world-cuisine/latin-american/mexican/salads/,17513,world-cuisine,latin-american,mexican,salads,,
https://www.allrecipes.com/recipes/17551/world-cuisine/european/italian/drinks/,17551,world-cuisine,european,italian,drinks,,
https://www.allrecipes.com/recipes/17582/world-cuisine/african/north-african/,17582,world-cuisine,african,north-african,,,
https://www.allrecipes.com/recipes/17596/world-cuisine/canadian/occasions/grey-cup/,17596,world-cuisine,canadian,occasions,grey-cup,,
https://www.allrecipes.com/recipes/17719/world-cuisine/canadian/allrecipes-allstars/,17719,world-cuisine,canadian,allrecipes-allstars,,,
https://www.allrecipes.com/recipes/17745/world-cuisine/latin-american/mexican/main-dishes/tacos/beef/,17745,world-cuisine,latin-american,mexican,main-dishes,tacos,beef
https://www.allrecipes.com/recipes/17752/world-cuisine/latin-american/mexican/main-dishes/tacos/chicken/,17752,world-cuisine,latin-american,mexican,main-dishes,tacos,chicken
https://www.allrecipes.com/recipes/17825/world-cuisine/asian/thai/main-dishes/pad-thai/,17825,world-cuisine,asian,thai,main-dishes,pad-thai,
https://www.allrecipes.com/recipes/17832/world-cuisine/asian/korean/soups-and-stews/,17832,world-cuisine,asian,korean,soups-and-stews,,
https://www.allrecipes.com/recipes/17833/world-cuisine/asian/korean/main-dishes/,17833,world-cuisine,asian,korean,main-dishes,,
https://www.allrecipes.com/recipes/17834/world-cuisine/asian/korean/main-dishes/kalbi/,17834,world-cuisine,asian,korean,main-dishes,kalbi,
https://www.allrecipes.com/recipes/17835/world-cuisine/asian/korean/main-dishes/bulgogi/,17835,world-cuisine,asian,korean,main-dishes,bulgogi,
https://www.allrecipes.com/recipes/17845/world-cuisine/african/east-african/,17845,world-cuisine,african,east-african,,,
https://www.allrecipes.com/recipes/17847/world-cuisine/european/spanish/appetizers/,17847,world-cuisine,european,spanish,appetizers,,
https://www.allrecipes.com/recipes/17846/world-cuisine/european/spanish/main-dishes/,17846,world-cuisine,european,spanish,main-dishes,,
https://www.allrecipes.com/recipes/17848/world-cuisine/european/spanish/soups-and-stews/,17848,world-cuisine,european,spanish,soups-and-stews,,
https://www.allrecipes.com/recipes/17849/world-cuisine/european/spanish/main-dishes/paella/,17849,world-cuisine,european,spanish,main-dishes,paella,
https://www.allrecipes.com/recipes/22770/world-cuisine/latin-american/mexican/main-dishes/enchiladas/vegetarian/,22770,world-cuisine,latin-american,mexican,main-dishes,enchiladas,vegetarian
https://www.allrecipes.com/recipes/22838/world-cuisine/asian/chinese/main-dishes/beef/,22838,world-cuisine,asian,chinese,main-dishes,beef,
https://www.allrecipes.com/recipes/23012/world-cuisine/latin-american/mexican/main-dishes/tostadas/,23012,world-cuisine,latin-american,mexican,main-dishes,tostadas,
https://www.allrecipes.com/recipes/23014/world-cuisine/asian/thai/desserts/,23014,world-cuisine,asian,thai,desserts,,
https://www.allrecipes.com/recipes/23018/world-cuisine/asian/filipino/main-dishes/pancit/,23018,world-cuisine,asian,filipino,main-dishes,pancit,
https://www.allrecipes.com/recipes/23045/world-cuisine/latin-american/mexican/main-dishes/chilaquiles/,23045,world-cuisine,latin-american,mexican,main-dishes,chilaquiles,
